"Тест номер №1"
"В файл с каким расширением компилируется java файл?","css","0"
"В файл с каким расширением компилируется java файл?","java","0"
"В файл с каким расширением компилируется java файл?","class","1"
"В файл с каким расширением компилируется java файл?","exe","0"
"Какой командой git можно получить полную копию удаленного репозитория?","commit","0"
"Какой командой git можно получить полную копию удаленного репозитория?","push","0"
"Какой командой git можно получить полную копию удаленного репозитория?","clone","1"
"Какой командой git можно получить полную копию удаленного репозитория?","copy","0"
"Какой вид цикла используется когда количество итераций заранее неизвестно?","while","1"
"Какой вид цикла используется когда количество итераций заранее неизвестно?","for","0"
"Какой вид цикла используется когда количество итераций заранее неизвестно?","loop","0"
"Какой командой git можно загрузить в удаленную ветку локальные коммиты?","commit","0"
"Какой командой git можно загрузить в удаленную ветку локальные коммиты?","clone","0"
"Какой командой git можно загрузить в удаленную ветку локальные коммиты?","copy","0"
"Какой командой git можно загрузить в удаленную ветку локальные коммиты?","push","1"
"Какой командой git можно получить все изменения из удаленного репозитория в свои ветки без слияния?","copy",0
"Какой командой git можно получить все изменения из удаленного репозитория в свои ветки без слияния?","fetch",1
"Какой командой git можно получить все изменения из удаленного репозитория в свои ветки без слияния?","clone",0
